id,symbol,name,current_price,market_cap,contract_address,decimals
superstate-short-duration-us-government-securities-fund-ustb,ustb,Superstate Short Duration U.S. Government Securities Fund (USTB),11.07,968834846,0x43415eb6ff9db7e26a15b704e7a3edce97d31c4e,
blockchain-capital,bcap,Blockchain Capital,105.75,963605738,N/A,
cosmos,atom,Cosmos Hub,1.89,957373203,N/A,
ethena,ena,Ethena,0.10385,909540362,0x57e114b691db790c35207b2e685d4a43181e6061,18.0
nexo,nexo,NEXO,0.900687,900490470,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,
kaspa,kas,Kaspa,0.03261931,892872093,N/A,
render-token,render,Render,1.69,875540284,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,18.0
aptos,apt,Aptos,1.044,841980698,N/A,
gatechain-token,gt,Gate,7.26,818002816,0xe66747a101bff2dba3697199dcce5b743b454759,18.0
worldcoin-wld,wld,Worldcoin,0.242638,802463227,0x163f8c2467924be0ae7b5347228cabf260318753,18.0
arbitrum,arb,Arbitrum,0.125964,774267133,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,18.0
just,jst,JUST,0.089327,763723916,N/A,
stable-2,stable,​​Stable,0.03344578,744988991,N/A,
filecoin,fil,Filecoin,0.932911,723636775,N/A,
pump-fun,pump,Pump.fun,0.00180014,648899942,N/A,
flare-networks,flr,Flare,0.00749486,643913817,N/A,
pudgy-penguins,pengu,Pudgy Penguins,0.00992336,623494009,0x6418c0dd099a9fda397c766304cdd918233e8847,
beldex,bdx,Beldex,0.079751,617108057,0x6ad12e761b438bea3ea09f6c6266556bb24c2181,
jupiter-exchange-solana,jup,Jupiter,0.183871,610793067,N/A,
ousg,ousg,OUSG,115.09,610423966,0x1b19c19393e2d034d8ff31ff34c81252fcbbee92,
vechain,vet,VeChain,0.00708126,607887411,N/A,
xdce-crowd-sale,xdc,XDC Network,0.02953707,589137159,N/A,
usdtb,usdtb,USDtb,1.0,585236394,0xc139190f447e929f090edeb554d95abb8b18ac1c,
gho,gho,GHO,0.9996,583766001,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,
hash-2,hash,Provenance Blockchain,0.01102826,578583255,N/A,
usual-usd,usd0,Usual USD,0.998984,558568823,0x73a15fed60bf67631dc6cd7bc5b6e8da8190acf5,
official-trump,trump,Official Trump,2.38,554490743,N/A,
bonk,bonk,Bonk,6.25e-06,549649745,0x1151cb3d861920e07a38e03eead12c32178567f6,5.0
midnight-3,night,Midnight,0.03277097,544237030,N/A,
dexe,dexe,DeXe,11.37,531912338,0xde4ee8057785a7e8e800db58f9784845a5c2cbd6,18.0
ylds,ylds,YLDS,0.999978,530042180,N/A,
true-usd,tusd,TrueUSD,0.999249,494210918,0x0000000000085d4780b73119b644ae5ecd22b376,
a7a5,a7a5,A7A5,0.01244248,487813566,0x6fa0be17e4bea2fcfa22ef89bf8ac9aab0ab0fc9,6.0
siren-2,siren,Siren,0.663,482006006,N/A,
pancakeswap-token,cake,PancakeSwap,1.45,475354909,0x152649ea73beab28c5b49b26eb48f7ead6d4c898,
virtual-protocol,virtual,Virtuals Protocol,0.700608,459864690,0x44ff8620b8ca30902395a7bd3f2407e1a091bf73,18.0
dash,dash,Dash,35.61,451585337,N/A,
fetch-ai,fet,Artificial Superintelligence Alliance,0.198136,447423190,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,
euro-coin,eurc,EURC,1.17,435453279,0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,
chiliz,chz,Chiliz,0.04180236,432333868,0x3506424f91fd33084466f402d5d97f05f8e3b4af,
edgex,edge,edgeX,1.23,431685976,0xb0076de78dc50581770bba1d211ddc0ad4f2a241,18.0
aerodrome-finance,aero,Aerodrome Finance,0.460469,428227137,N/A,
adi-token,adi,ADI,4.07,423280188,0x8b1484d57abbe239bb280661377363b03c89caea,
terra-luna,lunc,Terra Luna Classic,7.577e-05,418318426,N/A,
blockstack,stx,Stacks,0.223183,411372100,N/A,
janus-henderson-anemoy-aaa-clo-fund,jaaa,Janus Henderson Anemoy AAA CLO Fund,1.031,403654864,N/A,
first-digital-usd,fdusd,First Digital USD,0.998678,402341456,0xc5f0f7b66764f6ec8c8dff7ba683102295e16409,
venice-token,vvv,Venice Token,8.72,398695811,N/A,
tezos,xtz,Tezos,0.366532,396736382,N/A,
sei-network,sei,Sei,0.057732,388677821,N/A,
usx,usx,USX,0.999549,378652661,N/A,
layerzero,zro,LayerZero,1.44,363782372,0x6985884c4392d348587b19cb9eaaf157f13271cd,18.0
skyai,skyai,SkyAI,0.363429,361610270,N/A,
megausd,usdm,MegaUSD,1.0,360641318,N/A,
kinesis-gold,kau,Kinesis Gold,149.58,356926199,0x14dab79fd7b7b3f748d434812fd6a9aac460ea52,18.0
curve-dao-token,crv,Curve DAO,0.236478,356601477,0xd533a949740bb3306d119cc777fa900ba034cd52,
sun-token,sun,Sun Token,0.01846048,354623643,N/A,
humanity,h,Humanity,0.193128,352413791,0xcf5104d094e3864cfcbda43b82e1cefd26a016eb,
monad,mon,Monad,0.0295479,349415594,N/A,
injective-protocol,inj,Injective,3.48,347949267,0xe28b3b32b6c345a34ff64674606124dd5aceca30,18.0
spx6900,spx,SPX6900,0.373239,347372400,0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c,
manadia,umxm,Manadia,1.65,346627224,N/A,
ether-fi,ethfi,Ether.fi,0.413679,345692101,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,
bianrensheng,币安人生,币安人生 (BinanceLife),0.341485,341507762,N/A,
zebec-network,zbcn,Zebec Network,0.00337759,330878010,N/A,
gnosis,gno,Gnosis,123.7,326558096,0x6810e776880c02933d47db1b9fc05908e5386b96,18.0
hastra-prime,prime,PRIME,1.034,326341218,N/A,
celestia,tia,Celestia,0.357424,325776503,N/A,
decred,dcr,Decred,18.33,318363575,N/A,
bitcoin-cash-sv,bsv,Bitcoin SV,15.87,317857754,N/A,
floki,floki,FLOKI,3.277e-05,316069736,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,
bittorrent,btt,BitTorrent,3.18651e-07,314494472,0xc669928185dbce49d2230cc9b0979be6dc797957,
apenft,nft,AINFT,3.16432e-07,313330866,0x198d14f2ad9ce69e76ea330b374de4957c3f850a,
lido-dao,ldo,Lido DAO,0.367811,312271728,0x5a98fcbea516cf06857215779fd812ca3bef1b32,
conflux-token,cfx,Conflux,0.059692,309600664,N/A,
usdgo,usdgo,USDGO,0.999798,301961222,N/A,
olympus,ohm,Olympus,19.09,298651594,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,9.0
crvusd,crvusd,crvUSD,0.999879,287473549,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,18.0
doublezero,2z,DoubleZero,0.082032,284676080,N/A,
ape-and-pepe,apepe,Ape and Pepe,1.35e-06,283047040,N/A,
jasmycoin,jasmy,JasmyCoin,0.00569109,281614585,0x7420b4b9a0110cdc71fb720908340c03f9bc03ec,
kinesis-silver,kag,Kinesis Silver,74.35,280836720,0x56ba8b58b7d1f6d384a1c4dd553f39ebc8741b8e,
syrup,syrup,Maple Finance,0.238396,276432773,0x643c4e15d7d62ad0abec4a9bd4b001aa3ef52d66,
frax,frax,Legacy Frax Dollar,0.998817,275605186,0x853d955acef822db058eb8505911ed77f175b99e,18.0
pyth-network,pyth,Pyth Network,0.04712247,270952890,N/A,
kaia,kaia,Kaia,0.04567556,267144379,N/A,
optimism,op,Optimism,0.122541,263459575,N/A,
the-graph,grt,The Graph,0.02435273,263112759,0xc944e90c64b2c07662a292be6244bdf05cda44a7,
kite-2,kite,Kite,0.14346,258310402,0x904567252d8f48555b7447c67dca23f0372e16be,
apxusd,apxusd,apxUSD,0.999783,256644493,0x98a878b1cd98131b271883b390f68d2c90674665,
usdai,usdai,USDai,0.999848,248277182,0x0b2b2b2076d95dda7817e785989fe353fe955ef9,18.0
pendle,pendle,Pendle,1.47,247549508,0x808507121b80c02388fad14726482e061b8da827,
lido-earn-eth,earneth,Lido Earn ETH,2291.95,244855393,0xbbfc8683c8fe8cf73777fede7ab9574935fea0a4,
iota,iota,IOTA,0.054748,241911395,N/A,
reallink,real,RealLink,0.074425,239421800,N/A,
axie-infinity,axs,Axie Infinity,1.39,236422427,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,18.0
compound-governance-token,comp,Compound,24.32,235106873,0xc00e94cb662c3520282e6f5717214004a7f26888,
plasma,xpl,Plasma,0.092768,232704395,N/A,
ethereum-name-service,ens,Ethereum Name Service,6.04,232672852,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,18.0
starknet,strk,Starknet,0.03931337,231760244,0xca14007eff0db1f8135f4c25b34de49ab0d42766,18.0
ethgas-2,gwei,ETHGas,0.10909,229003306,0x2798b1cc5a993085e8a9d46e80499f1b63f42204,
lighter,lit,Lighter,0.889185,222266519,0x232ce3bd40fcd6f80f3d55a522d03f25df784ee2,18.0
raydium,ray,Raydium,0.814559,218783044,N/A,
usda-2,usda,USDa,0.984361,217235955,0x8a60e489004ca22d775c5f2c657598278d17d9c2,
agora-dollar,ausd,AUSD,0.999704,216408237,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,
the9bit,9bit,The9bit,0.02619212,214719524,N/A,
undeads-games,uds,Undeads Games,1.66,206514463,0x712bd4beb54c6b958267d9db0259abdbb0bff606,
chain-2,xcn,Onyxcoin,0.00539448,204048452,0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18,
telcoin,tel,Telcoin,0.00213134,202773293,0x467bccd9d29f223bce8043b84e8c8b282827790f,
tradable-na-rent-financing-platform-sstn,pc0000031,Tradable NA Rent Financing Platform SSTN,1.0,202500000,N/A,
fartcoin,fartcoin,Fartcoin,0.202339,202219392,N/A,
theta-token,theta,Theta Network,0.196651,196586386,N/A,
the-sandbox,sand,The Sandbox,0.072404,193115033,0x3845badade8e6dff049820680d1f14bd3903a5d0,18.0
grass,grass,Grass,0.327156,191987900,N/A,
neo,neo,NEO,2.72,191640541,N/A,
unibase,ub,Unibase,0.07584,189768405,0x6944e1df6bf5972305f9ab25df47ef10de01bcc8,
dogwifcoin,wif,dogwifhat,0.187421,187150688,N/A,
btse-token,btse,BTSE Token,1.14,183948591,0x666d875c600aa06ac1cf15641361dec3b00432ef,
vision-3,vsn,Vision,0.04934207,182211590,0x699ccf919c1dfdfa4c374292f42cadc9899bf753,18.0
swissborg,borg,SwissBorg,0.183723,180337840,0x64d0f55cd8c7133a9d7102b13987235f486f2224,
trust-wallet-token,twt,Trust Wallet,0.425999,177466611,N/A,
thorchain,rune,THORChain,0.504733,177248538,N/A,
megaeth,mega,MegaETH,0.155274,175119841,N/A,
decentraland,mana,Decentraland,0.090415,174799374,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,18.0
story-2,ip,Story,0.491455,173813407,N/A,
genius-3,genius,Genius,0.518458,173591271,N/A,
wefi,wfi,WeFi,2.06,171812073,N/A,
helium,hnt,Helium,0.9297,170782180,N/A,
spiko-us-t-bills-money-market-fund,ustbl,Spiko US T-Bills Money Market Fund,1.082,168914361,0xe4880249745eac5f1ed9d8f7df844792d560e750,
re-protocol-reusd,reusd,Re Protocol reUSD,1.074,168522699,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,
jito-governance-token,jto,Jito,0.357151,166124647,N/A,
sonic-3,s,Sonic,0.04358756,165224952,N/A,
ravedao,rave,RaveDAO,0.661959,164305037,0x17205fab260a7a6383a81452ce6315a39370db97,
tradable-apac-diversified-finance-provider-sstn,pc0000033,Tradable APAC Diversified Finance Provider SSTN,1.0,162500000,N/A,
nusd-2,nusd,Neutrl USD,0.999036,162409469,0xe556aba6fe6036275ec1f87eda296be72c811bce,
mx-token,mx,MX,1.76,161923010,0x11eef04c884e24d9b7b4760e7476d06ddf797f36,18.0
asteroid-shiba,asteroid,Asteroid Shiba,0.00038407,161675728,0xf280b16ef293d8e534e370794ef26bf312694126,9.0
walrus-2,wal,Walrus,0.069873,160427788,N/A,
safepal,sfp,SafePal,0.320474,160179702,0x12e2b8033420270db2f3b328e32370cb5b2ca134,
apecoin,ape,ApeCoin,0.159805,159627640,N/A,
satoshi-stablecoin,satusd,Satoshi Stablecoin,0.995764,158526494,0x1958853a8be062dc4f401750eb233f5850f0d0d2,
convex-finance,cvx,Convex Finance,1.72,154903539,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,18.0
pieverse,pieverse,Pieverse,0.672139,154399611,0x0e63b9c287e32a05e6b9ab8ee8df88a2760225a9,
gala,gala,GALA,0.00323426,154018749,0xd1d2eb1b1e90b638588728b4130137d262c87cae,8.0
newton-project,ab,AB,0.00155005,153176458,N/A,
fidelity-digital-interest-token,fdit,Fidelity Digital Interest Token,1.0,152376507,0x48ab4e39ac59f4e88974804b04a991b3a402717f,18.0
stasis-eurs,eurs,STASIS EURO,1.23,152169219,0xdb25f211ab05b1c97d595516f45794528a807ad8,2.0
gamer-tag,gmrt,The Game Company,0.412908,150700211,0x6967f0974d76d34e140cae27efea32cdf546b58e,
akash-network,akt,Akash Network,0.515697,150492171,N/A,
gusd,gusd,GUSD,0.998496,149895624,N/A,
zksync,zk,ZKsync,0.01536648,149141649,0x66a5cfb2e9c529f14fe6364ad1075df3a649c0a5,18.0
falcon-finance-ff,ff,Falcon Finance,0.063442,148381365,0xfa1c09fc8b491b6a4d3ff53a10cad29381b3f949,18.0
ultima,ultima,Ultima,2848.47,146743422,N/A,
origintrail,trac,OriginTrail,0.326021,145826379,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,
basic-attention-token,bat,Basic Attention,0.09725,145545560,0x0d8775f648430679a709e98d2b0cb6250d2887ef,
vaulta,a,Vaulta,0.088727,145376404,N/A,
usa,usat,USAT,0.999262,144637498,0x07041776f5007aca2a54844f50503a18a72a8b68,
onyc,onyc,Onchain Yield Coin,1.098,143915711,N/A,
zano,zano,Zano,9.4,143526342,N/A,
ribbita-by-virtuals,tibbir,Ribbita by Virtuals,0.1434,143385729,N/A,
immutable-x,imx,Immutable,0.167117,140752212,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,
golem,glm,Golem,0.14046,140494119,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,18.0
ecash,xec,eCash,6.98e-06,139603126,N/A,
frax-usd,frxusd,Frax USD,0.999877,136626178,0xcacd6fd266af91b8aed52accc382b4e165586e29,18.0
eigenlayer,eigen,EigenCloud (prev. EigenLayer),0.183549,135092704,0xec53bf9167f50cdeb3ae105f56099aaab9061f83,
tradable-latam-fintech-sstn,pc0000097,Tradable LatAm Fintech SSTN,1.0,134000000,N/A,
apollo-diversified-credit-securitize-fund,acred,Apollo Diversified Credit Securitize Fund,1094.94,132603207,0x17418038ecf73ba4026c4f428547bf099706f27b,
1inch,1inch,1INCH,0.093799,131795889,0x111111111117dc0aa78b770fa6a738034120c302,
sosovalue,soso,SoSoValue,0.418748,130636947,0x76a0e27618462bdac7a29104bdcfff4e6bfcea2d,18.0
build-on,b,BUILDon,0.1304,130400365,N/A,
dydx-chain,dydx,dYdX,0.153096,128508229,N/A,
arweave,ar,Arweave,1.96,128387950,N/A,
theo-short-duration-us-treasury-fund,thbill,Theo Short Duration US Treasury Fund,1.02,127425708,0x5fa487bca6158c64046b2813623e20755091da0b,6.0
chip-2,chip,USD.AI,0.063509,126936651,0x0c1c1c109fe34733fca54b82d7b46b75cfb71f6e,
cheems-token,cheems,Cheems Token,6.22535e-07,126727817,N/A,
shuffle-2,shfl,Shuffle,0.303484,125733596,0x8881562783028f5c1bcb985d2283d5e170d88888,18.0
instadapp,fluid,Fluid,1.62,125551730,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,
ozone-chain,ozo,Ozone Chain,0.130384,125259728,N/A,
sentient,sent,Sentient,0.01730239,125257137,0x56a3ba04e95d34268a19b2a4474dc979babdaf76,18.0
cash-4,cash,CASH,1.0,125249907,N/A,
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,1.17,124245769,0x5f7827fdeb7c20b443265fc2f40845b715385ff2,18.0
river,river,River,6.31,123168884,0xda7ad9dea9397cffddae2f8a052b82f1484252b3,
elrond-erd-2,egld,MultiversX,4.09,122148732,N/A,
block-street,bsb,Block Street,0.561104,120678007,0xdb6ba5d510f114f9b2ea08bea7d30e32eee33411,
circle-internet-group-ondo-tokenized-stock,crclon,Circle Internet Group (Ondo Tokenized Stock),91.73,119528869,0x3632dea96a953c11dac2f00b4a05a32cd1063fae,
astherus-usdf,usdf,Aster USDF,0.998379,119410085,N/A,
stp-network,awe,AWE Network,0.061076,118609060,N/A,
centrifuge-2,cfg,Centrifuge,0.205147,118402545,0xcccccccccc33d538dbc2ee4feab0a7a1ff4e8a94,
gmt-token,gomining,GoMining Token,0.292043,118221108,0x7ddc52c4de30e94be3a6a0a2b259b2850f421989,18.0
luxxcoin,lux,Luxxcoin,0.00116787,116765095,N/A,
orca,orca,Orca,1.91,116308461,N/A,
tokenize-xchange,tkx,Tokenize Xchange,1.44,114888026,0x667102bd3413bfeaa3dffb48fa8288819e480a88,8.0
cap-usd,cusd,Cap USD,0.999694,114533629,0xcccc62962d17b8914c62d74ffb843d73b2a3cccc,18.0
tradable-singapore-fintech-ssl-2,pc0000023,Tradable Singapore Fintech SSL,1.0,114500000,N/A,
bnb48-club-token,koge,KOGE,33.54,113361704,N/A,
kaito,kaito,KAITO,0.466309,112613604,N/A,
zero-gravity,0g,0G,0.52705,112363297,0x4b948d64de1f71fcd12fb586f4c776421a35b3ee,18.0
aethir,ath,Aethir,0.00582378,112097462,0xbe0ed4138121ecfc5c0e56b40517da27e6c5226b,
wemix-token,wemix,WEMIX,0.239543,110731088,N/A,
enjincoin,enj,Enjin Coin,0.056196,110474349,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,18.0
tradable-na-third-party-online-merchant-sstn,pc0000015,Tradable NA Third Party Online Merchant SSTN,1.0,110225974,N/A,
safe,safe,Safe,0.147051,108817786,0x5afe3855358e112b5647b952709e6165e1c1eeee,18.0
bitmart-token,bmx,BitMart,0.320524,108808766,0x986ee2b944c42d017f52af21c4c69b84dbea35d8,18.0
rollbit-coin,rlb,Rollbit Coin,0.063443,107300698,0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,
flying-tulip,ft,Flying Tulip,0.082947,107260656,0x5dd1a7a369e8273371d2dbf9d83356057088082c,
tradable-latam-middle-market-lender-sstl,pc0000085,Tradable LatAm Middle-Market Lender SSTL,1.0,106500000,N/A,
seeker,skr,Seeker,0.01698106,106359533,N/A,
ini,ini,INI,0.125221,106071098,N/A,
gas,gas,Gas,1.63,105857650,N/A,
reserve-rights-token,rsr,Reserve Rights,0.0016835,105289198,0x320623b8e4ff03373931769a31fc52a4e78b5d70,
securitize-tokenized-aaa-clo-fund,stac,Securitize Tokenized AAA CLO Fund,1014.85,105148283,0x51c2d74017390cbbd30550179a16a1c28f7210fc,6.0
havven,snx,Synthetix,0.304723,105013203,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,18.0
zencash,zen,Horizen,5.82,104850011,N/A,
livepeer,lpt,Livepeer,2.11,104681913,0x58b6a8a3302369daec383334672404ee733ab239,
cow-protocol,cow,CoW Protocol,0.186002,103794492,0xdef1ca1fb7fbcdc777520aa7f396b4e015f497ab,18.0
four,form,Four,0.265938,101529384,N/A,
palm-usd,pusd,Palm USD,0.999309,101215951,0xfaf0cee6b20e2aaa4b80748a6af4cd89609a3d78,
mnee-usd-stablecoin,mnee,MNEE USD Stablecoin,0.9995,101044747,0x8ccedbae4916b79da7f3f612efb2eb93a2bfd6cf,
ring-usd,usdr,Ring USD,1.0,100407024,0x4ea40dcee961675683e0a2e1721bd49cb9bca913,18.0
standx-dusd,dusd,StandX DUSD,0.999262,100225731,N/A,
tradable-singapore-fintech-ssl,pc0000077,Tradable Singapore Fintech SSL,1.0,100000000,N/A,
unity-usd,uusd,Unity USD,0.999431,99942227,N/A,
chutes,sn64,Chutes,20.33,99849549,N/A,
nxm,nxm,Nexus Mutual,56.06,99710423,0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,
precious-metals-usd,pmusd,Precious Metals USD,0.994118,99611499,0xc0c17dd08263c16f6b64e772fb9b723bf1344ddf,18.0
melania-meme,melania,Melania Meme,0.103673,98761249,N/A,
banana-for-scale-2,bananas31,Banana For Scale,0.00980836,98160582,N/A,
beam-2,beam,Beam,0.00190853,97895868,0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce,18.0
avant-usd,avusd,Avant USD,0.999324,97654837,N/A,
kamino,kmno,Kamino,0.02119004,95359915,N/A,
yearn-finance,yfi,yearn.finance,2661.96,95059040,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,
impossible-cloud-network-token,icnt,Impossible Cloud Network Token,0.37442,94732549,0xe5e0b73380181273abcfd88695f52c4d0c825661,18.0
ravencoin,rvn,Ravencoin,0.00583027,94431674,N/A,
berachain-bera,bera,Berachain,0.361242,93789275,N/A,
0x,zrx,0x Protocol,0.110104,93405072,0xe41d2489571d322189246dafa5ebde1f4699f498,18.0
spark-2,spk,Spark,0.035169,93398679,0xc20059e0317de91738d13af027dfc4a50781b066,
ordinals,ordi,ORDI,4.43,92933527,N/A,
lovebit,lb,LoveBit,2.20691e-07,92690174,N/A,
qtum,qtum,Qtum,0.86991,92167430,N/A,
quantum-resistant-ledger,qrl,Quantum Resistant Ledger,1.17,91622111,N/A,
